,Timestamp,Ground_truth,Predicted_value
591,13.811,Start to walk,Stand
592,13.835,Start to walk,Stand
593,13.854,Start to walk,Stand
594,13.879,Start to walk,Stand
595,13.901,Start to walk,Stand
596,13.92,Start to walk,Stand
597,13.943,Start to walk,Stand
598,13.964,Start to walk,Stand
599,13.987,Start to walk,Stand
600,14.009,Start to walk,Stand
601,14.032,Start to walk,Stand
602,14.053,Start to walk,Stand
603,14.076,Start to walk,Stand
604,14.098,Start to walk,Stand
605,14.12,Start to walk,Stand
606,14.142,Start to walk,Stand
607,14.164,Walk,Stand
608,14.186,Walk,Stand
609,14.209,Walk,Stand
610,14.232,Walk,Stand
611,14.255,Walk,Stand
612,14.278,Walk,Stand
613,14.298,Walk,Stand
614,14.322,Walk,Stand
615,14.342,Walk,Stand
616,14.364,Walk,Stand
617,14.386,Walk,Stand
618,14.407,Walk,Stand
619,14.43,Walk,Stand
620,14.454,Walk,Stand
621,14.473,Walk,Stand
622,14.498,Walk,Stand
623,14.52,Walk,Stand
624,14.54,Walk,Stand
625,14.565,Walk,Stand
626,14.588,Walk,Stand
627,14.607,Walk,Stand
628,14.628,Walk,Stand
629,14.653,Walk,Stand
630,14.673,Walk,Stand
631,14.698,Walk,Stand
632,14.717,Walk,Stand
633,14.742,Walk,Stand
634,14.764,Walk,Stand
635,14.783,Walk,Stand
636,14.808,Walk,Stand
637,14.827,Walk,Stand
638,14.852,Walk,Stand
639,14.871,Walk,Stand
640,14.896,Walk,Stand
641,14.916,Walk,Stand
642,14.941,Walk,Stand
643,14.96,Walk,Stand
644,14.982,Walk,Stand
645,15.007,Walk,Stand
646,15.027,Walk,Stand
647,15.049,Walk,Stand
648,15.072,Walk,Stand
649,15.094,Walk,Stand
650,15.116,Walk,Stand
651,15.144,Walk,Stand
652,15.167,Walk,Stand
653,15.189,Walk,Stand
654,15.211,Walk,Stand
655,15.234,Walk,Stand
656,15.26,Walk,Stand
657,15.279,Walk,Stand
658,15.301,Walk,Stand
659,15.323,Walk,Stand
660,15.345,Walk,Stand
661,15.367,Walk,Stand
662,15.39,Walk,Stand
663,15.411,Walk,Stand
664,15.434,Walk,Stand
665,15.456,Walk,Stand
666,15.478,Walk,Stand
667,15.5,Walk,Stand
668,15.522,Walk,Stand
669,15.545,Walk,Stand
670,15.565,Walk,Stand
671,15.59,Walk,Stand
672,15.609,Walk,Stand
673,15.632,Walk,Stand
674,15.654,Walk,Stand
675,15.676,Walk,Stand
676,15.697,Walk,Stand
677,15.72,Walk,Stand
678,15.744,Walk,Stand
679,15.764,Walk,Stand
680,15.786,Walk,Stand
681,15.808,Walk,Stand
682,15.831,Walk,Stand
683,15.853,Walk,Stand
684,15.875,Walk,Stand
685,15.897,Walk,Stand
